,RMSE,SMAPE,RMSSE,Total_Train_Time,Horizon,Model
82,456.08867504863593,49.47549040409391,15.947497665638451,185.17828726768494,3,AutoDeepAR
88,456.14008730877254,49.48771793579965,15.94929533557276,87.94767332077026,6,AutoDeepAR
94,456.20669273692687,49.51124706364753,15.951624246523897,44.36605358123779,12,AutoDeepAR
76,456.43108146112473,49.54756983294666,15.95947017397421,23.21238660812378,24,AutoDeepAR
83,456.7503714752117,49.62695955160729,15.970634399338435,185.17828726768494,3,AutoDeepAR
89,456.77064006369574,49.6312756653305,15.9713431064062,87.94767332077026,6,AutoDeepAR
95,456.9694708505496,49.671718784095525,15.978295380564008,44.36605358123779,12,AutoDeepAR
77,457.08277633877685,49.69419570628774,15.982257195684316,23.21238660812378,24,AutoDeepAR
99,458.40190002590316,49.99113615112007,16.028381388351214,44.36605358123779,12,AutoDeepAR
80,458.41198621179234,49.99546002447342,16.02873405973887,23.21238660812378,24,AutoDeepAR
98,458.41886126678276,49.995108822788794,16.028974451420158,44.36605358123779,12,AutoDeepAR
81,458.4347135391929,49.99273635920811,16.029528738538183,23.21238660812378,24,AutoDeepAR
93,458.46224930185497,49.990625465908586,16.03049154804168,87.94767332077026,6,AutoDeepAR
92,458.47771615762764,49.999098289323406,16.03103235876517,87.94767332077026,6,AutoDeepAR
86,458.50068932350445,49.99998023802787,16.03183563349931,185.17828726768494,3,AutoDeepAR
87,458.5404224859511,50.0,16.033224934637513,185.17828726768494,3,AutoDeepAR
78,459.7939506827348,50.0,16.0770555296197,23.21238660812378,24,AutoDeepAR
96,459.8612312133104,50.0,16.07940804605564,44.36605358123779,12,AutoDeepAR
90,460.124498579185,50.0,16.088613395656296,87.94767332077026,6,AutoDeepAR
84,460.2246067716017,50.0,16.09211375699438,185.17828726768494,3,AutoDeepAR
79,460.43248244632963,50.0,16.099382292739346,23.21238660812378,24,AutoDeepAR
97,460.52602198555945,50.0,16.102652975975133,44.36605358123779,12,AutoDeepAR
91,460.6746290697524,50.0,16.107849139041473,87.94767332077026,6,AutoDeepAR
85,460.8860329444445,50.0,16.115241041060965,185.17828726768494,3,AutoDeepAR
